New head: (17,39)Removed tail: (14,42)Current head: (17,39)
New head: (17,38)Removed tail: (14,41)Current head: (17,38)
New head: (17,37)Removed tail: (15,41)Current head: (17,37)
New head: (18,37)Removed tail: (15,40)Current head: (18,37)
New head: (19,37)Removed tail: (15,39)Current head: (19,37)
New head: (20,37)Removed tail: (16,39)Current head: (20,37)
New head: (1,36)Removed tail: (17,39)Current head: (1,36)
New head: (1,35)Removed tail: (17,38)Current head: (1,35)
New head: (1,34)Removed tail: (17,37)Current head: (1,34)
New head: (0,34)Removed tail: (18,37)Current head: (0,34)
New head: (18,34)Removed tail: (19,37)Current head: (18,34)
New head: (17,34)Removed tail: (20,37)Current head: (17,34)
New head: (16,34)Removed tail: (1,36)Current head: (16,34)
New head: (17,34)Removed tail: (1,35)Current head: (17,34)
Snake has been reversed.New head: (2,34)Removed tail: (17,34)Current head: (2,34)
New head: (3,34)Removed tail: (16,34)Current head: (3,34)
New head: (4,34)Removed tail: (17,34)Current head: (4,34)
New head: (4,33)Removed tail: (18,34)Current head: (4,33)
New head: (4,32)Removed tail: (0,34)Current head: (4,32)
New head: (4,31)Removed tail: (1,34)Current head: (4,31)
New head: (4,30)Removed tail: (2,34)Current head: (4,30)
New head: (4,29)Removed tail: (3,34)Current head: (4,29)
New head: (5,29)Removed tail: (4,34)Current head: (5,29)
New head: (6,29)Removed tail: (4,33)Current head: (6,29)
New head: (7,29)Removed tail: (4,32)Current head: (7,29)
New head: (7,30)Removed tail: (4,31)Current head: (7,30)
New head: (7,31)Removed tail: (4,30)Current head: (7,31)
New head: (7,32)Removed tail: (4,29)Current head: (7,32)
New head: (8,32)Removed tail: (5,29)Current head: (8,32)
New head: (9,32)Removed tail: (6,29)Current head: (9,32)
New head: (10,32)Removed tail: (7,29)Current head: (10,32)
New head: (11,32)Removed tail: (7,30)Current head: (11,32)
New head: (11,33)Removed tail: (7,31)Current head: (11,33)
New head: (12,33)Removed tail: (7,32)Current head: (12,33)
New head: (13,33)Removed tail: (8,32)Current head: (13,33)
New head: (14,33)Removed tail: (9,32)Current head: (14,33)
New head: (15,33)Removed tail: (10,32)Current head: (15,33)
New head: (16,33)Removed tail: (11,32)Current head: (16,33)
New head: (17,33)Removed tail: (11,33)Current head: (17,33)
New head: (18,33)Removed tail: (12,33)Current head: (18,33)
New head: (19,33)Current head: (19,33)
New head: (20,33)Removed tail: (15,33)Current head: (20,33)
New head: (2,33)Removed tail: (16,33)Current head: (2,33)
New head: (3,33)Removed tail: (17,33)Current head: (3,33)
New head: (3,32)Removed tail: (18,33)Current head: (3,32)
New head: (3,31)Removed tail: (19,33)Current head: (3,31)
New head: (3,30)Removed tail: (20,33)Current head: (3,30)
New head: (3,29)Removed tail: (2,33)Current head: (3,29)
New head: (4,29)Removed tail: (3,33)Current head: (4,29)
New head: (4,28)Removed tail: (3,32)Current head: (4,28)
New head: (4,27)Removed tail: (3,31)Current head: (4,27)
New head: (4,26)Removed tail: (3,30)Current head: (4,26)
New head: (5,26)Removed tail: (3,29)Current head: (5,26)
New head: (6,26)Removed tail: (4,29)Current head: (6,26)
New head: (6,25)Removed tail: (4,28)Current head: (6,25)
New head: (6,24)Removed tail: (4,27)Current head: (6,24)
New head: (7,24)Removed tail: (4,26)Current head: (7,24)
New head: (8,24)Removed tail: (5,26)Current head: (8,24)
New head: (8,23)Removed tail: (6,26)Current head: (8,23)
New head: (8,22)Removed tail: (6,25)Current head: (8,22)
New head: (8,21)Removed tail: (6,24)Current head: (8,21)
New head: (9,21)Removed tail: (7,24)Current head: (9,21)
New head: (9,20)Removed tail: (8,24)Current head: (9,20)
New head: (9,19)Removed tail: (8,23)Current head: (9,19)
New head: (9,18)Removed tail: (8,22)Current head: (9,18)
New head: (9,17)Removed tail: (8,21)Current head: (9,17)
